Ticker_symbol,Security,GICS_Sector,GICS_Sub_Industry
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing
TSN,Tyson Foods,Consumer Staples,Packaged Foods &amp; Meats
TYC,Tyco International,Industrials,Industrial Conglomerates
UDR,UDR Inc,Financials,Residential REITs
USB,U.S. Bancorp,Financials,Banks
UA,Under Armour,Consumer Discretionary,Apparel, Accessories &amp; Luxury Goods
UNP,Union Pacific,Industrials,Railroads
UAL,United Continental Holdings,Industrials,Airlines
UNH,United Health Group Inc.,Health Care,Managed Health Care
UPS,United Parcel Service,Industrials,Air Freight &amp; Logistics
URI,United Rentals, Inc.,Industrials,Trading Companies &amp; Distributors
UTX,United Technologies,Industrials,Industrial Conglomerates
UHS,Universal Health Services, Inc.,Health Care,Health Care Facilities
UNM,Unum Group,Financials,Diversified Financial Services
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail
VFC,V.F. Corp.,Consumer Discretionary,Apparel, Accessories &amp; Luxury Goods
VLO,Valero Energy,Energy,Oil &amp; Gas Refining &amp; Marketing &amp; Transportation
VAR,Varian Medical Systems,Health Care,Health Care Equipment &amp; Services
VTR,Ventas Inc,Financials,Diversified Financial Services
VRSN,Verisign Inc.,Information Technology,Internet Software &amp; Services
VRSK,Verisk Analytics,Industrials,Research &amp; Consulting Services
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting &amp; Cable TV
V,Visa Inc.,Information Technology,Internet Software &amp; Services
VNO,Vornado Realty Trust,Financials,REITs
VMC,Vulcan Materials,Materials,Construction Materials
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets &amp; Super Centers
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting &amp; Cable TV
WM,Waste Management Inc.,Industrials,Environmental Services
WAT,Waters Corporation,Health Care,Health Care Distributors &amp; Services
ANTM,Anthem Inc.,Health Care,Managed Health Care
WFC,Wells Fargo,Financials,Banks
HCN,Welltower Inc.,Financials,REITs
WDC,Western Digital,Information Technology,Computer Storage &amp; Peripherals
WU,Western Union Co,Information Technology,Internet Software &amp; Services
WY,Weyerhaeuser Corp.,Financials,REITs
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances
WFM,Whole Foods Market,Consumer Staples,Food Retail
WMB,Williams Cos.,Energy,Oil &amp; Gas Exploration &amp; Production
WLTW,Willis Towers Watson,Financials,Insurance Brokers
WEC,Wisconsin Energy Corporation,Utilities,Electric Utilities
WYN,Wyndham Worldwide,Consumer Discretionary,Hotels, Resorts &amp; Cruise Lines
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos &amp; Gaming
XEL,Xcel Energy Inc,Utilities,MultiUtilities
XRX,Xerox Corp.,Information Technology,IT Consulting &amp; Services
XLNX,Xilinx Inc,Information Technology,Semiconductors
XL,XL Capital,Financials,Property &amp; Casualty Insurance
XYL,Xylem Inc.,Industrials,Industrial Conglomerates
YHOO,Yahoo Inc.,Information Technology,Internet Software &amp; Services
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment &amp; Services
ZION,Zions Bancorp,Financials,Banks
ZTS,Zoetis,Health Care,Pharmaceuticals
